title,max_players,genres,publisher,review_score,sales,price,console,age_rating,year,average_length
NBA Street Homecourt,4,Sports,EA,80,0.47,7.95,X360,T,2007,18.3166666666667
SSX on Tour,1,Sports,EA,79,0.2,16.95,Sony PSP,E,2005,15.5
Kung Fu Panda,4,Action,Activision,75,2.04,9.95,X360,E,2008,6.7
Dementium: The Ward,1,Action,,72,0.15,17.95,Nintendo DS,M,2007,4.01666666666667
Avatar: The Last Airbender,1,Action,THQ,57,0.11,17.95,Sony PSP,E,2006,4.75
Gears of War 2,2,Action,Microsoft,93,3.9,24.95,X360,E,2008,12.5666666666667
MX vs. ATV Untamed,1,Educational,Ubisoft,59,0.27,16.95,Sony PSP,T,2008,12
The Sims 2: Pets,1,Simulation,EA,49,0.97,14.95,Nintendo DS,T,2006,27.7
New Super Mario Bros.,1,Action,Nintendo,89,10.03,27.95,Nintendo DS,T,2006,10.2333333333333
Final Fantasy II,1,Role-Playing (RPG),SquareEnix,63,0.31,17.95,Sony PSP,E,2007,29.9333333333333
Marvel Nemesis: Rise of the Imperfects ,1,Action,EA,34,0.08,14.95,Nintendo DS,T,2005,5.03333333333333
Call of Duty 3,2,Action,Activision,82,1.51,16.95,X360,T,2006,8.81666666666667
Etrian Odyssey II: Heroes of Lagaard,1,Role-Playing (RPG),,82,0.07,24.95,Nintendo DS,T,2008,55.4833333333333
Dark Messiah of Might and Magic: Elements,1,"Action,Role-Playing (RPG)",Ubisoft,52,0.13,17.95,X360,T,2008,13.2333333333333
Devil May Cry 4,1,Action,Capcom,84,0.56,19.95,PlayStation 3,T,2008,13.35
Call of Duty: World at War,2,Action,Activision,83,1.17,29.95,Nintendo Wii,M,2008,10.2833333333333
Phoenix Wright: Ace Attorney - Trials and Tribu...,1,"Adventure,Simulation",Capcom,81,0.27,17.95,Nintendo DS,T,2007,22.0833333333333
Magnetica,1,"Action,Strategy",Nintendo,68,0.09,17.95,Nintendo DS,T,2006,9.93333333333333
Dynasty Warriors 5: Empires,2,"Action,Role-Playing (RPG),Strategy",,61,0.1,14.95,X360,T,2006,34.3166666666667
Rockstar Games presents Table Tennis,2,Sports,Rockstar,81,0.28,9.95,X360,M,2006,6
The Simpsons Game,2,Action,EA,71,0.39,17.95,PlayStation 3,E,2007,1.03333333333333
The Legendary Starfy,1,"Action,Adventure",Nintendo,75,0.5,24.95,Nintendo DS,E,2008,14.25
Pokemon Mystery Dungeon: Blue Rescue Team,1,Role-Playing (RPG),Nintendo,62,1.22,14.95,Nintendo DS,T,2005,37.4666666666667
Rock Band,4,"Action,Simulation",,92,1.01,14.95,PlayStation 3,M,2007,19.3666666666667
Lost in Blue,1,Role-Playing (RPG),Konami,69,0.07,24.95,Nintendo DS,T,2005,24.15
Silent Hill: 0rigins,1,Action,Konami,78,0.22,17.95,Sony PSP,E,2007,6.16666666666667
Pokemon Pearl,1,Role-Playing (RPG),Nintendo,85,6.77,26.95,Nintendo DS,E,2006,101.066666666667
The Chronicles of Narnia: Prince Caspian,1,Role-Playing (RPG),Disney,54,0.19,10.95,Nintendo DS,M,2008,12.8166666666667
LEGO Star Wars II: The Original Trilogy,2,Action,,81,0.57,14.95,X360,E,2006,17.55
Pirates of the Caribbean: Dead Man's Chest,1,Action,,63,0.24,11.95,Nintendo DS,E,2006,2.68333333333333
Star Wars: The Force Unleashed,2,Action,,71,1.01,14.95,Nintendo Wii,E,2008,6.13333333333333
Shrek SuperSlam,1,Action,Activision,56,0.18,11.95,Nintendo DS,E,2005,1.21666666666667
Sega Superstars Tennis,4,Sports,Sega,67,1.84,9.95,X360,E,2008,7.88333333333333
Star Wars: Episode III - Revenge of the Sith,1,Action,Ubisoft,73,0.28,16.95,Nintendo DS,E,2005,5.1
Dynasty Warriors 6,2,"Action,Strategy",,60,0.16,24.95,X360,M,2008,29.35
FlatOut: Head On,1,"Racing / Driving,Sports",,74,0.14,9.95,Sony PSP,E,2008,21.8
Armored Core: For Answer,1,Action,Ubisoft,62,0.05,29.95,PlayStation 3,M,2008,56.8833333333333
Phantasy Star Universe,1,Role-Playing (RPG),Sega,64,0.09,24.95,X360,E,2006,35.1333333333333
X-Men: Legends II - Rise of Apocalypse,1,"Action,Role-Playing (RPG)",Activision,84,0.27,17.95,Sony PSP,M,2005,22.3333333333333
Over the Hedge,1,Adventure,Activision,71,0.26,16.95,Nintendo DS,E,2006,7.21666666666667
Geometry Wars: Galaxies,1,Action,,79,0.12,14.95,Nintendo DS,T,2007,18.5
Speed Racer: The Videogame,2,Racing / Driving,,69,0.34,16.95,Nintendo Wii,M,2008,12.3833333333333
Super Princess Peach,1,Action,Nintendo,75,0.7,29.95,Nintendo DS,T,2005,11
Spider-Man 2,1,Action,Activision,61,0.45,14.95,Nintendo DS,E,2004,13.25
Tony Hawk's Proving Ground,1,Sports,Activision,39,0.21,13.95,Nintendo DS,M,2007,8.13333333333333
Virtua Tennis 3,4,Sports,Sega,80,0.24,19.95,PlayStation 3,E,2007,18.1666666666667
Call of Duty 2,4,Action,"Activision,Konami",89,1.69,17.95,X360,E,2005,9.23333333333333
Final Fantasy XII: Revenant Wings,1,"Role-Playing (RPG),Strategy",SquareEnix,81,0.33,19.95,Nintendo DS,T,2007,38.55
